Date,All surveys started,All Certificates,All Datasets,Published Certificates,Published Datasets,Raw level Certificates,Pilot level Certificates,Standard level Certificates,Expert level Certificates
2013-09-14,8285,607,500,19,16,8,5,6,0
2013-09-15,8275,597,500,19,16,8,5,6,0
2013-09-16,8274,596,500,19,16,8,5,6,0
2013-09-17,8279,601,501,19,16,8,5,6,0
2013-09-18,8280,602,501,20,16,8,6,6,0
2013-09-19,8276,598,501,20,16,8,6,6,0
2013-09-20,8283,605,502,20,16,8,6,6,0
2013-09-21,8275,597,502,20,16,8,6,6,0
2013-09-22,8274,596,502,20,16,8,6,6,0
2013-09-23,8278,600,503,20,16,8,6,6,0
2013-09-24,8279,601,503,20,16,8,6,6,0
2013-09-25,8297,619,507,20,16,8,6,6,0
2013-09-26,8298,620,511,20,16,8,6,6,0
2013-09-27,8290,612,512,21,17,8,7,6,0
2013-09-28,8289,611,513,21,17,8,7,6,0
2013-09-29,8286,608,513,21,17,8,7,6,0
2013-09-30,8289,611,515,22,18,9,7,6,0
2013-10-01,81,81,55,15,11,11,4,0,0
2013-10-01,8296,618,515,22,18,9,7,6,0
2013-10-02,81,81,55,15,11,11,4,0,0
2013-10-02,8300,622,515,22,18,9,7,6,0
2013-10-03,82,82,55,16,12,12,4,0,0
2013-10-03,8296,618,516,22,18,9,7,6,0
2013-10-04,82,82,55,16,12,12,4,0,0
2013-10-04,8296,618,516,22,18,9,7,6,0
2013-10-05,84,84,57,16,12,12,4,0,0
2013-10-05,8295,617,517,22,18,9,7,6,0
2013-10-06,84,84,57,16,12,12,4,0,0
2013-10-06,8293,615,517,22,18,9,7,6,0
2013-10-07,84,84,57,16,12,12,4,0,0
2013-10-07,8294,616,517,22,18,9,7,6,0
2013-10-08,84,84,57,16,12,12,4,0,0
2013-10-08,8312,634,521,24,20,9,9,6,0
2013-10-09,84,84,57,16,12,12,4,0,0
2013-10-09,8304,626,524,24,20,9,9,6,0
2013-10-10,84,84,57,16,12,12,4,0,0
2013-10-10,8315,637,526,24,20,9,9,6,0
2013-10-11,84,84,57,16,12,12,4,0,0
2013-10-11,8315,637,530,25,21,9,10,6,0
2013-10-12,84,84,57,16,12,12,4,0,0
2013-10-12,8313,635,530,25,21,9,10,6,0
2013-10-13,84,84,57,16,12,12,4,0,0
2013-10-13,8306,628,530,25,21,9,10,6,0
2013-10-14,84,84,57,16,12,12,4,0,0
2013-10-14,8306,628,530,25,21,9,10,6,0
2013-10-15,92,92,62,16,12,12,4,0,0
